"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",7,4,11,"Be ","    ",20177.17,0.24,5952.54,0.022,"B-",11509.46,0.24,11.02166108,0.26,"13.76 s","1/2+",11.509463,-21.57313,-20.55113,-8.320746
" ",6,5,11,"B  ","    ",8667.707,0.012,6927.732,0.001,"  ","*","*",11.009305166999999,0.013,"stable","3/2-",-1.981693,-12.531463,-11.509463,-8.664314
" ",5,6,11,"C  ","    ",10649.4,0.06,6676.456,0.005,"B+",1981.69,0.06,11.0114326,0.06,"1221.8 s","3/2-",-13.6506,0.959693,1.981693,-7.544516
" ",4,7,11,"N  ","  -p",24300.0,50.0,5364.0,4.0,"B+",13650.0,50.0,11.02609,50.0,"830 kev","1/2+",0.0,12.6286,13.6506,-5.801916
"0",9,3,12,"Li ","  -n",49010.0,30.0,3791.6,2.5,"B-",23930.0,30.0,12.05261,30.0,"None","None",23.9322,0.0,0.0,0.0
" ",8,4,12,"Be ","    ",25077.8,1.9,5720.72,0.16,"B-",11708.4,2.3,12.0269221,2.0,"21.49 ms","0+",11.7084,-24.9542,-23.9322,-8.956796
" ",7,5,12,"B  ","    ",13369.4,1.3,6631.22,0.11,"B-",13369.4,1.3,12.0143526,1.4,"20.20 ms","1+",13.3694,-12.7304,-11.7084,-10.001316
" ",6,6,12,"C  ","    ",0.0,0.0,7680.144,0.0,"  ","*","*",12.0,0.0,"stable","0+",-17.3381,-14.3914,-13.3694,-7.366586
" ",5,7,12,"N  ","    ",17338.1,1.0,6170.11,0.08,"B+",17338.1,1.0,12.018613199999999,1.1,"11.000 ms","1+",-14.5769,16.3161,17.3381,-8.008416
" ",4,8,12,"O  "," -pp",31915.0,24.0,4890.2,2.0,"B+",14577.0,24.0,12.034262,26.0,"0.40 mev","0+",0.0,13.5549,14.5769,-5.573916
"0",10,3,13,"Li "," -nn",56980.0,70.0,3508.0,5.0,"B-",23320.0,70.0,13.06117,80.0,"None","None",23.321,0.0,0.0,0.0
" ",9,4,13,"Be ","  -n",33659.0,10.0,5241.4,0.8,"B-",17097.0,10.0,13.036135,11.0,"2.7e-21 s","(1/2-)",17.0971,-24.343,-23.321,-9.705916
" ",8,5,13,"B  "," -nn",16561.9,1.0,6496.42,0.08,"B-",13436.9,1.0,13.01778,1.1,"17.33 ms","3/2-",13.43689112,-18.1191,-17.0971,-10.817916
" ",7,6,13,"C  ","    ",3125.00888,0.00021,7469.849,0.0,"  ","*","*",13.003354835209999,0.00023,"stable","1/2-",-2.22047112,-14.45889112,-13.43689112,-10.64835712
" ",6,7,13,"N  ","    ",5345.48,0.27,7238.863,0.021,"B+",2220.47,0.27,13.00573861,0.29,"9.965 m","1/2-",-17.76952,1.19847112,2.22047112,-9.495936
" ",5,8,13,"O  "," +3n",23115.0,10.0,5811.8,0.7,"B+",17770.0,10.0,13.024815,10.0,"8.58 ms","3/2-",0.0,16.74752,17.76952,-8.220916
"0",10,4,14,"Be ","   x",39950.0,130.0,4994.0,9.0,"B-",16290.0,130.0,14.04289,140.0,"4.31 ms","0+",16.286,0.0,0.0,-11.674916
" ",9,5,14,"B  ","    ",23664.0,21.0,6101.6,1.5,"B-",20644.0,21.0,14.025404,23.0,"12.6 ms","2-",20.644107,-17.308,-16.286,-11.813916
" ",8,6,14,"C  ","    ",3019.893,0.004,7520.319,0.0,"B-",156.476,0.004,14.003241988,0.004,"5700 y","0+",0.15647628,-21.666107,-20.644107,-12.012513
" ",7,7,14,"N  ","    ",2863.41672,0.00019,7475.614,0.0,"  ","*","*",14.00307400446,0.00021,"stable","1+",-5.14436428,-1.17847628,-0.15647628,-11.61210828
" ",6,8,14,"O  ","    ",8007.781,0.025,7052.278,0.002,"B+",5144.364,0.025,14.008596706,0.027,"70.606 s","0+",-23.952219,4.12236428,5.14436428,-10.115805
" ",5,9,14,"F  ","  -p",31960.0,40.0,5285.2,2.9,"B+",23960.0,40.0,14.03432,40.0,"910 kev","2-",0.0,22.930219,23.952219,-9.264916
"0",11,4,15,"Be ","  -n",49830.0,170.0,4541.0,11.0,"B-",20870.0,170.0,15.05349,180.0,"0.58 mev","(5/2+)",20.872,0.0,0.0,0.0
" ",10,5,15,"B  ","    ",28958.0,21.0,5880.0,1.4,"B-",19085.0,21.0,15.031088,23.0,"10.4 ms","3/2-",19.0849,-21.894,-20.872,-14.195216
" ",9,6,15,"C  ","  -n",9873.1,0.8,7100.17,0.05,"B-",9771.7,0.8,15.0105993,0.9,"2.449 s","1/2+",9.7716613,-20.1069,-19.0849,-12.728986
" ",8,7,15,"N  ","    ",101.4387,0.0006,7699.46,0.0,"  ","*","*",15.0001088989,0.0006,"stable","1/2-",-2.7541613,-10.7936613,-9.7716613,-10.9911843
" ",7,8,15,"O  ","    ",2855.6,0.5,7463.69,0.03,"B+",2754.2,0.5,15.0030656,0.5,"122.24 s","1/2-",-13.7114,1.7321613,2.7541613,-10.218716
" ",6,9,15,"F  ","  -p",16567.0,14.0,6497.5,0.9,"B+",13711.0,14.0,15.017785,15.0,"660 kev","1/2+",-23.653,12.6894,13.7114,-10.157916
" ",5,10,15,"Ne "," -pp",40220.0,70.0,4869.0,4.0,"B+",23650.0,70.0,15.04317,70.0,"0.59 mev","(3/2-)",0.0,22.631,23.653,0.0
"0",12,4,16,"Be "," -nn",57450.0,170.0,4285.0,10.0,"B-",20330.0,170.0,16.06167,180.0,"0.8 mev","0+",20.337,0.0,0.0,0.0
" ",11,5,16,"B  ","    ",37113.0,25.0,5507.3,1.5,"B-",23418.0,25.0,16.039842,26.0,"100 kev","",23.419,-21.359,-20.337,-14.321916
" ",10,6,16,"C  "," -nn",13694.0,4.0,6922.05,0.22,"B-",8010.0,4.0,16.014701,4.0,"0.747 s","0+",8.0101,-24.441,-23.419,-13.808716
" ",9,7,16,"N  ","  -n",5683.9,2.3,7373.8,0.14,"B-",10420.9,2.3,16.0061019,2.5,"7.13 s","2-",10.42090135,-9.0321,-8.0101,-10.110416
" ",8,8,16,"O  ","    ",-4737.00135,0.00016,7976.206,0.0,"  ","*","*",15.9949146196,0.00017,"stable","0+",-15.41700135,-11.44290135,-10.42090135,-7.16191735
" ",7,9,16,"F  ","   -",10680.0,8.0,6963.7,0.5,"B+",15417.0,8.0,16.011466,9.0,"40 kev","0-",-13.307,14.39500135,15.41700135,-9.083016
" ",6,10,16,"Ne ","  --",23987.0,20.0,6083.2,1.3,"B+",13307.0,22.0,16.025751,22.0,"122 kev","0+",0.0,12.285,13.307,-10.352916
"0",12,5,17,"B  ","   x",43720.0,200.0,5270.0,12.0,"B-",22680.0,200.0,17.04693,220.0,"5.08 ms","(3/2-)",22.688,0.0,0.0,-15.684916
" ",11,6,17,"C  ","2p-n",21032.0,17.0,6558.0,1.0,"B-",13162.0,23.0,17.022579,19.0,"193 ms","(3/2+)",13.162,-23.71,-22.688,-15.051916
" ",10,7,17,"N  ","  +p",7870.0,15.0,7286.2,0.9,"B-",8679.0,15.0,17.008449,16.0,"4.173 s","1/2-",8.6787635,-14.184,-13.162,-11.116816
" ",9,8,17,"O  ","    ",-808.7635,0.0007,7750.728,0.0,"  ","*","*",16.9991317566,0.0007,"stable","5/2+",-2.7604635,-9.7007635,-8.6787635,-6.35868838
" ",8,9,17,"F  ","    ",1951.7,0.25,7542.328,0.015,"B+",2760.47,0.25,17.00209524,0.27,"64.49 s","5/2+",-14.5487,1.7384635,2.7604635,-5.818696
" ",7,10,17,"Ne ","    ",16500.4,0.4,6640.499,0.021,"B+",14548.7,0.4,17.017714,0.4,"109.2 ms","1/2-",-18.6696,13.5267,14.5487,-9.039516
" ",6,11,17,"Na ","   x",35170.0,1000.0,5500.0,60.0,"B+",18670.0,1000.0,17.03776,1080.0,"None","None",0.0,17.6476,18.6696,0.0
"0",13,5,18,"B  ","  -n",51790.0,200.0,4977.0,11.0,"B-",26870.0,210.0,18.0556,220.0,"None","None",26.87,0.0,0.0,0.0
" ",12,6,18,"C  ","  ++",24920.0,30.0,6426.1,1.7,"B-",11810.0,40.0,18.02675,30.0,"92 ms","(0+)",11.807,-27.892,-26.87,-17.454916
" ",11,7,18,"N  ","   +",13113.0,19.0,7038.6,1.0,"B-",13896.0,19.0,18.014078,20.0,"619 ms","1-",13.8958156,-12.829,-11.807,-12.975916
" ",10,8,18,"O  ","    ",-782.8156,0.0007,7767.097,0.0,"  ","*","*",17.9991596128,0.0008,"stable","0+",-1.6559156,-14.9178156,-13.8958156,-6.2276246
" ",9,9,18,"F  ","    ",873.1,0.5,7631.638,0.026,"B+",1655.9,0.5,18.0009373,0.5,"109.77 m","1+",-4.4445,0.6339156,1.6559156,-4.41523272
" ",8,10,18,"Ne ","    ",5317.6,0.4,7341.257,0.02,"B+",4444.5,0.6,18.0057087,0.4,"1.672 s","0+",-19.7224,3.4225,4.4445,-5.115097
" ",7,11,18,"Na ","    ",25040.0,90.0,6202.0,5.0,"B+",19720.0,90.0,18.02688,100.0,"0.2 mev","(1)-",0.0,18.7004,19.7224,-9.344916
"0",14,5,19,"B  ","   x",59770.0,530.0,4720.0,28.0,"B-",27360.0,530.0,19.06417,560.0,"2.92 ms","(3/2-)",27.36,0.0,0.0,0.0
" ",13,6,19,"C  ","  -n",32410.0,100.0,6118.0,5.0,"B-",16560.0,100.0,19.0348,110.0,"45.5 ms","",16.554,-28.382,-27.36,-19.844916
" ",12,7,19,"N  ","p-2n",15856.0,16.0,6948.5,0.9,"B-",12523.0,17.0,19.017022,18.0,"336 ms","1/2-",12.5231,-17.576,-16.554,-15.526916
" ",11,8,19,"O  ","  -n",3332.9,2.6,7566.49,0.14,"B-",4820.3,2.6,19.003578,2.8,"26.88 s","5/2+",4.8203442,-13.5451,-12.5231,-8.965116
" ",10,9,19,"F  ","    ",-1487.4442,0.0009,7779.018,0.0,"  ","*","*",18.9984031629,0.0009,"stable","1/2+",-3.2394942,-5.8423442,-4.8203442,-4.0137989
" ",9,10,19,"Ne "," +3n",1752.05,0.16,7567.343,0.008,"B+",3239.49,0.16,19.0018809,0.17,"17.22 s","1/2+",-11.17695,2.2174942,3.2394942,-3.528466
" ",8,11,19,"Na ","    ",12929.0,11.0,6937.9,0.6,"B+",11177.0,11.0,19.01388,11.0,"40 kev","(5/2+)",-18.901,10.15495,11.17695,-6.062916
" ",7,12,19,"Mg "," -pp",31830.0,50.0,5902.0,2.6,"B+",18900.0,50.0,19.03417,50.0,"1.14e-4 ev","1/2-",0.0,17.879,18.901,-10.814916
"0",15,5,20,"B  ","   x",68450.0,800.0,4450.0,40.0,"B-",30950.0,830.0,20.07348,860.0,"None","None",30.95,0.0,0.0,0.0
" ",14,6,20,"C  ","   x",37500.0,230.0,5961.0,12.0,"B-",15740.0,240.0,20.04026,250.0,"14 ms","0+",15.73,-31.972,-30.95,-22.374916
" ",13,7,20,"N  ","   x",21770.0,80.0,6709.0,4.0,"B-",17970.0,80.0,20.02337,80.0,"136 ms","2-",17.9738,-16.752,-15.73,-17.767916
" ",12,8,20,"O  "," -nn",3796.2,0.9,7568.57,0.04,"B-",3813.6,0.9,20.004075399999998,0.9,"13.51 s","0+",3.813663,-18.9958,-17.9738,-12.322716
" ",11,9,20,"F  ","  -n",-17.463,0.03,7720.134,0.002,"B-",7024.467,0.03,19.99998125,0.03,"11.163 s","2+",7.0244675,-4.835663,-3.813663,-8.126279
" ",10,10,20,"Ne ","    ",-7041.9305,0.0016,8032.24,0.0,"  ","*","*",19.9924401762,0.0017,"stable","0+",-13.8925305,-8.0464675,-7.0244675,-4.72984515
" ",9,11,20,"Na ","    ",6850.6,1.1,7298.5,0.06,"B+",13892.5,1.1,20.007354399999997,1.2,"447.9 ms","2+",-10.6271,12.8705305,13.8925305,-6.254316
" ",8,12,20,"Mg ","  +t",17477.7,1.9,6728.02,0.09,"B+",10627.1,2.2,20.0187631,2.0,"90.8 ms","0+",0.0,9.6051,10.6271,-8.934216
"0",16,5,21,"B  ","   x",77330.0,900.0,4200.0,40.0,"B-",31690.0,1080.0,21.08302,970.0,"None","None",31.69,0.0,0.0,0.0
" ",15,6,21,"C  ","   x",45640.0,600.0,5674.0,28.0,"B-",20410.0,610.0,21.049,640.0,"None","None",20.41,-32.712,-31.69,0.0
" ",14,7,21,"N  ","   x",25230.0,130.0,6609.0,6.0,"B-",17170.0,130.0,21.02709,140.0,"84 ms","1/2-",17.168,-21.432,-20.41,-20.914916
" ",13,8,21,"O  "," -3n",8062.0,12.0,7389.4,0.6,"B-",8110.0,12.0,21.008655,13.0,"3.42 s","(5/2+)",8.1096,-18.19,-17.168,-15.394916
" ",12,9,21,"F  "," -nn",-47.6,1.8,7738.29,0.09,"B-",5684.2,1.8,20.9999489,1.9,"4.158 s","5/2+",5.68418,-9.1316,-8.1096,-10.342516
" ",11,10,21,"Ne ","    ",-5731.78,0.04,7971.713,0.002,"  ","*","*",20.99384669,0.04,"stable","3/2+",-3.54715,-6.70618,-5.68418,-7.3479325
" ",10,11,21,"Na ","    ",-2184.63,0.1,7765.547,0.005,"B+",3547.14,0.09,20.9976547,0.11,"22.49 s","3/2+",-13.08843,2.52515,3.54715,-6.561246
" ",9,12,21,"Mg ","   x",10903.8,0.8,7105.03,0.04,"B+",13088.5,0.8,21.0117058,0.8,"122 ms","5/2+",-16.0862,12.06643,13.08843,-8.021516
" ",8,13,21,"Al ","   x",26990.0,600.0,6302.0,28.0,"B+",16090.0,600.0,21.02898,640.0,"35 ns","(5/2+)",0.0,15.0642,16.0862,-10.604916
"0",16,6,22,"C  "," -nn",53610.0,230.0,5421.0,11.0,"B-",21850.0,310.0,22.05755,250.0,"6.1 ms","0+",21.85,0.0,0.0,0.0
" ",15,7,22,"N  ","   x",31760.0,210.0,6379.0,9.0,"B-",22480.0,220.0,22.0341,220.0,"20 ms","(0-,1-)",22.48,-22.872,-21.85,-22.454916
" ",14,8,22,"O  "," -4n",9280.0,60.0,7364.9,2.6,"B-",6490.0,60.0,22.00997,60.0,"2.25 s","0+",6.487,-23.502,-22.48,-18.064916
" ",13,9,22,"F  ","   +",2793.0,12.0,7624.3,0.6,"B-",10818.0,12.0,22.002999,13.0,"4.23 s","(4+)",10.817719,-7.509,-6.487,-12.744916
" ",12,10,22,"Ne ","    ",-8024.719,0.018,8080.465,0.001,"  ","*","*",21.99138511,0.019,"stable","0+",-2.843209,-11.839719,-10.817719,-9.6668194
" ",11,11,22,"Na ","    ",-5181.51,0.17,7915.667,0.008,"B+",2843.21,0.17,21.99443742,0.18,"2.6018 y","3+",-4.78161,1.821209,2.843209,-8.479526
" ",10,12,22,"Mg ","    ",-399.9,0.3,7662.761,0.014,"B+",4781.6,0.3,21.9995707,0.3,"3.8755 s","0+",-18.5999,3.75961,4.78161,-8.142416
" ",9,13,22,"Al ","   x",18200.0,400.0,6782.0,18.0,"B+",18600.0,400.0,22.01954,430.0,"91.1 ms","4+",-15.14,17.5779,18.5999,-9.264916
" ",8,14,22,"Si ","   x",33340.0,500.0,6058.0,23.0,"B+",15140.0,640.0,22.03579,540.0,"29 ms","0+",0.0,14.118,15.14,0.0
"0",17,6,23,"C  ","   x",64170.0,1000.0,5080.0,40.0,"B-",27450.0,1080.0,23.06889,1070.0,"None","None",27.45,0.0,0.0,0.0
" ",16,7,23,"N  ","   x",36720.0,420.0,6237.0,18.0,"B-",22100.0,440.0,23.03942,450.0,"14.1 ms","",22.1,-28.472,-27.45,-25.474916
" ",15,8,23,"O  ","   x",14620.0,120.0,7163.0,5.0,"B-",11340.0,130.0,23.0157,130.0,"97 ms","1/2+",11.33,-23.122,-22.1,-20.214916
" ",14,9,23,"F  ","    ",3290.0,30.0,7622.3,1.4,"B-",8440.0,30.0,23.00353,40.0,"2.23 s","5/2+",8.44405,-12.352,-11.33,-14.990916
" ",13,10,23,"Ne ","  -n",-5154.05,0.1,7955.256,0.005,"B-",4375.8,0.1,22.9944669,0.11,"37.24 s","5/2+",4.3758025,-9.46605,-8.44405,-10.911866
" ",12,11,23,"Na ","    ",-9529.8525,0.0018,8111.493,0.0,"  ","*","*",22.989769282,0.0019,"stable","3/2+",-4.0563425,-5.3978025,-4.3758025,-10.4673243
" ",11,12,23,"Mg ","   -",-5473.51,0.16,7901.115,0.007,"B+",4056.34,0.16,22.99412394,0.17,"11.317 s","3/2+",-12.22161,3.0343425,4.0563425,-9.650476
" ",10,13,23,"Al ","  --",6748.1,0.3,7335.727,0.015,"B+",12221.6,0.4,23.007244399999998,0.4,"0.47 s","5/2+",-16.9519,11.19961,12.22161,-8.605816
" ",9,14,23,"Si ","   x",23700.0,500.0,6565.0,22.0,"B+",16950.0,500.0,23.02544,540.0,"42.3 ms","",0.0,15.9299,16.9519,-10.554916
"0",17,7,24,"N  ","   x",46940.0,400.0,5887.0,17.0,"B-",28440.0,430.0,24.05039,430.0,"52 ns","",28.44,0.0,0.0,-23.934916
" ",16,8,24,"O  ","   x",18500.0,160.0,7040.0,7.0,"B-",10960.0,190.0,24.01986,180.0,"61 ms","0+",10.96,-29.462,-28.44,-21.424916
" ",15,9,24,"F  ","   x",7540.0,100.0,7464.0,4.0,"B-",13500.0,100.0,24.0081,100.0,"390 ms","(1,2,3)+",13.4916,-11.982,-10.96,-16.654916
" ",14,10,24,"Ne "," -nn",-5951.6,0.5,7993.325,0.021,"B-",2466.3,0.5,23.9936106,0.6,"3.38 m","0+",2.466301,-14.5136,-13.4916,-12.172716
" ",13,11,24,"Na ","  -n",-8417.901,0.017,8063.488,0.001,"B-",5515.669,0.021,23.990963011,0.018,"20.18 ms","1+",5.515668,-3.488301,-2.466301,-10.825354
" ",12,12,24,"Mg ","    ",-13933.569,0.013,8260.709,0.001,"  ","*","*",23.985041697,0.014,"stable","0+",-13.884709,-6.537668,-5.515668,-9.3165545
" ",11,13,24,"Al ","  ep",-48.86,0.23,7649.582,0.01,"B+",13884.7,0.23,23.99994754,0.25,"2.053 s","4+",-10.79386,12.862709,13.884709,-9.324376
" ",10,14,24,"Si ","  --",10745.0,19.0,7167.2,0.8,"B+",10794.0,19.0,24.011535,21.0,"140 ms","0+",-22.575,9.77186,10.79386,-9.157616
" ",9,15,24,"P  ","   x",33320.0,500.0,6194.0,21.0,"B+",22570.0,500.0,24.03577,540.0,"None","None",0.0,21.553,22.575,0.0
"0",18,7,25,"N  ","   x",55980.0,500.0,5613.0,20.0,"B-",28650.0,530.0,25.0601,540.0,"None","None",28.65,0.0,0.0,-23.774916
" ",17,8,25,"O  ","  -n",27330.0,170.0,6728.0,7.0,"B-",15990.0,190.0,25.02934,180.0,"6.3e-9 ps","(3/2+)",16.0,-29.672,-28.65,-20.734916
" ",16,9,25,"F  ","   x",11330.0,100.0,7336.0,4.0,"B-",13370.0,100.0,25.01217,100.0,"50 ms","(5/2+)",13.366,-17.022,-16.0,-16.324916
" ",15,10,25,"Ne ","    ",-2036.0,29.0,7839.8,1.2,"B-",7322.0,29.0,24.99781,30.0,"602 ms","1/2+",7.3218,-14.388,-13.366,-12.522916
" ",14,11,25,"Na "," -nn",-9357.8,1.2,8101.4,0.05,"B-",3835.0,1.2,24.989954,1.3,"59.1 s","5/2+",3.83498,-8.3438,-7.3218,-11.735116
" ",13,12,25,"Mg ","    ",-13192.78,0.05,8223.502,0.002,"  ","*","*",24.98583696,0.05,"stable","5/2+",-4.27681,-4.85698,-3.83498,-9.885916
" ",12,13,25,"Al ","    ",-8915.97,0.06,8021.136,0.003,"B+",4276.81,0.04,24.99042831,0.07,"7.183 s","5/2+",-12.74297,3.25481,4.27681,-9.156256
" ",11,14,25,"Si "," +3n",3827.0,10.0,7480.1,0.4,"B+",12743.0,10.0,25.004109,11.0,"220 ms","5/2+",-15.913,11.72097,12.74297,-9.501716
" ",10,15,25,"P  ","   x",19740.0,400.0,6812.0,16.0,"B+",15910.0,400.0,25.02119,430.0,"30 ns","(1/2+)",0.0,14.891,15.913,-9.674916
"0",18,8,26,"O  "," -nn",34660.0,160.0,6497.0,6.0,"B-",16010.0,200.0,26.03721,180.0,"4.5 ps","0+",16.01,0.0,0.0,-21.374916
" ",17,9,26,"F  ","   x",18650.0,110.0,7083.0,4.0,"B-",18170.0,110.0,26.02002,120.0,"2.2 ms","4+",18.169,-17.032,-16.01,-15.534916
" ",16,10,26,"Ne ","   x",481.0,18.0,7751.9,0.7,"B-",7342.0,19.0,26.000516,20.0,"197 ms","0+",7.342,-19.191,-18.169,-11.223916
" ",15,11,26,"Na ","   x",-6861.0,4.0,8004.2,0.13,"B-",9354.0,4.0,25.992635,4.0,"1.07128 s","3+",9.353542,-8.364,-7.342,-12.078916
